,game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season
,21501228,2016-04-13,LAL vs. UTA,1610612762,f,L,40,42,0.488,240,39,83,0.47,9,30,0.3,9,15,1,8,30,38,27,10,1,13,16,96,1610612747,2015,Regular Season,2015-16
,21501227,2016-04-13,GSW vs. MEM,1610612763,f,L,42,40,0.512,240,42,98,0.429,8,24,0.333,12,16,1,13,27,40,25,12,1,13,18,104,1610612744,2015,Regular Season,2015-16
,21501223,2016-04-13,SAS @ DAL,1610612742,t,L,42,40,0.512,240,31,77,0.403,12,39,0.308,17,21,1,11,30,41,20,8,2,12,23,91,1610612759,2015,Regular Season,2015-16
,21501228,2016-04-13,UTA @ LAL,1610612747,t,W,17,65,0.207,240,41,85,0.482,6,25,0.24,13,15,1,8,39,47,19,6,3,13,17,101,1610612762,2015,Regular Season,2015-16
,21501227,2016-04-13,MEM @ GSW,1610612744,t,W,73,9,0.89,240,46,87,0.529,20,47,0.426,13,16,1,12,39,51,35,7,7,17,14,125,1610612763,2015,Regular Season,2015-16
,21501223,2016-04-13,DAL vs. SAS,1610612759,f,W,67,15,0.817,240,35,74,0.473,6,23,0.261,20,26,1,8,34,42,24,8,3,14,19,96,1610612742,2015,Regular Season,2015-16
,21501217,2016-04-13,MIA @ BOS,1610612738,t,W,48,34,0.585,240,37,86,0.43,5,14,0.357,19,22,1,10,29,39,20,7,3,7,20,98,1610612748,2015,Regular Season,2015-16
,21501224,2016-04-13,HOU vs. SAC,1610612758,f,L,33,49,0.402,240,32,96,0.333,11,37,0.297,6,13,0,15,34,49,21,11,4,17,17,81,1610612745,2015,Regular Season,2015-16
,21501218,2016-04-13,BKN vs. TOR,1610612761,f,W,56,26,0.683,240,41,93,0.441,13,37,0.351,8,15,1,16,41,57,24,5,10,9,12,103,1610612751,2015,Regular Season,2015-16
,21501225,2016-04-13,MIL vs. IND,1610612754,f,W,45,37,0.549,240,39,90,0.433,11,24,0.458,8,10,1,12,36,48,28,8,3,17,14,97,1610612749,2015,Regular Season,2015-16
,21501218,2016-04-13,TOR @ BKN,1610612751,t,L,21,61,0.256,240,39,89,0.438,10,26,0.385,8,12,1,5,34,39,26,8,8,8,17,96,1610612761,2015,Regular Season,2015-16
,21501224,2016-04-13,SAC @ HOU,1610612745,t,W,41,41,0.5,240,47,97,0.485,10,35,0.286,12,19,1,14,41,55,33,11,7,14,15,116,1610612758,2015,Regular Season,2015-16
,21501217,2016-04-13,BOS vs. MIA,1610612748,f,L,48,34,0.585,240,38,88,0.432,2,19,0.105,10,12,1,14,30,44,14,5,10,8,21,88,1610612738,2015,Regular Season,2015-16
,21501225,2016-04-13,IND @ MIL,1610612749,t,L,33,49,0.402,240,37,87,0.425,7,23,0.304,11,13,1,7,36,43,23,8,3,15,15,92,1610612754,2015,Regular Season,2015-16
,21501220,2016-04-13,DET @ CLE,1610612739,t,L,57,25,0.695,265,46,97,0.474,7,18,0.389,11,15,1,8,35,43,21,4,7,10,23,110,1610612765,2015,Regular Season,2015-16
,21501220,2016-04-13,CLE vs. DET,1610612765,f,W,44,38,0.537,265,37,85,0.435,16,33,0.485,22,28,1,9,38,47,24,5,11,12,15,112,1610612739,2015,Regular Season,2015-16
,21501229,2016-04-13,LAC @ PHX,1610612756,t,W,23,59,0.28,240,45,99,0.455,7,26,0.269,17,22,1,18,40,58,26,10,5,16,15,114,1610612746,2015,Regular Season,2015-16
,21501212,2016-04-12,NYK @ IND,1610612754,t,W,44,37,0.543,240,41,80,0.513,6,19,0.316,14,20,1,8,33,41,26,10,3,13,10,102,1610612752,2015,Regular Season,2015-16
,21501212,2016-04-12,IND vs. NYK,1610612752,f,L,32,50,0.39,240,36,80,0.45,10,27,0.37,8,9,1,8,29,37,27,6,8,15,17,90,1610612754,2015,Regular Season,2015-16
,21501215,2016-04-12,SAS vs. OKC,1610612760,f,L,55,27,0.671,265,35,87,0.402,6,25,0.24,22,25,1,18,37,55,18,7,5,21,23,98,1610612759,2015,Regular Season,2015-16
,21501215,2016-04-12,OKC @ SAS,1610612759,t,W,66,15,0.815,265,37,87,0.425,4,14,0.286,24,32,1,11,31,42,15,12,8,11,22,102,1610612760,2015,Regular Season,2015-16
,21501205,2016-04-11,CHA @ BOS,1610612738,t,L,47,34,0.58,240,34,89,0.382,8,24,0.333,24,29,1,13,33,46,17,6,1,12,17,100,1610612766,2015,Regular Season,2015-16
,21501205,2016-04-11,BOS vs. CHA,1610612766,f,W,47,34,0.58,240,41,81,0.506,14,32,0.438,18,22,1,7,37,44,23,10,7,14,20,114,1610612738,2015,Regular Season,2015-16
,21501204,2016-04-11,MIL @ ORL,1610612753,t,W,35,46,0.432,240,41,84,0.488,7,23,0.304,18,28,1,12,24,36,28,19,10,10,15,107,1610612749,2015,Regular Season,2015-16
,21501208,2016-04-11,CHI @ NOP,1610612740,t,L,30,51,0.37,240,41,80,0.513,12,26,0.462,22,28,1,10,23,33,28,8,2,10,23,116,1610612741,2015,Regular Season,2015-16
,21501208,2016-04-11,NOP vs. CHI,1610612741,f,W,41,40,0.506,240,44,77,0.571,10,23,0.435,23,26,1,5,30,35,29,5,3,9,20,121,1610612740,2015,Regular Season,2015-16
,21501204,2016-04-11,ORL vs. MIL,1610612749,f,L,33,48,0.407,240,41,78,0.526,3,15,0.2,13,19,1,13,32,45,18,6,7,23,20,98,1610612753,2015,Regular Season,2015-16
,21501206,2016-04-11,BKN vs. WAS,1610612764,f,W,40,41,0.494,240,46,89,0.517,9,25,0.36,19,24,1,9,38,47,27,8,1,14,18,120,1610612751,2015,Regular Season,2015-16
,21501211,2016-04-11,SAC @ PHX,1610612756,t,L,22,59,0.272,240,41,100,0.41,5,22,0.227,14,17,1,17,34,51,21,8,3,19,25,101,1610612758,2015,Regular Season,2015-16
